point_id,Group Accessibility
604674847989289,2.268270492553711
949196586512378,2.0869858264923096
605891168125545,1.7950447797775269
1249858809278291,1.6931644678115845
988468651961771,1.7776433229446411
921202372638296,2.762728691101074
1347565769187019,2.3107833862304688
1341504720103773,1.322494626045227
952668539175574,2.286348581314087
1080374116306941,1.396181583404541
1322136562027966,2.662139892578125
961379378185837,1.381871223449707
941413194231731,1.34475576877594
1009908479896961,1.093784213066101
892522566216818,1.1763012409210205
1013409802878937,1.984108090400696
939279797901090,2.621033191680908
904776734159147,1.480635404586792
616561439946526,2.2801756858825684
853103753241699,1.9420231580734253
1338937760006258,1.0515917539596558
695558328191580,1.2478859424591064
952223362203527,2.391983985900879
950032772690571,1.6562944650650024
1312368290163646,1.715696930885315
1340752596483655,2.680731773376465
1308133949889708,2.0333852767944336
1124362752024215,2.71590518951416
1293701861147943,2.971205234527588
936246644244828,2.1895081996917725
1346924189139125,1.3505592346191406
1193562914391269,1.3674676418304443
1305135293470992,2.529656410217285
1295222257734943,1.467562556266785
622970039700648,2.1874356269836426
1318863291903626,1.0774309635162354
834257367185392,2.5855093002319336
529573871983782,1.5035438537597656
1337088266887319,2.8090057373046875
504976904195671,1.3296889066696167
940105906820082,2.62200927734375
898838224675882,1.1997708082199097
851593792374953,2.6209988594055176
1311865273537495,1.5676716566085815
928577328264627,1.9983972311019895
1128142527596894,2.6524252891540527
1141620766250105,2.153740406036377
1320036521960447,2.67459774017334
910602130248721,2.1104302406311035
911367867348178,1.7812402248382568
928287858713842,2.600125551223755
1322765481735334,2.666281223297119
884917556708982,1.4245096445083618
960316751396097,0.9700862169265748
536100118682953,2.6322412490844727
1311671469473878,2.610579490661621
844205992848268,2.61846923828125
925642278684345,2.6545567512512207
952643825765368,1.1349645853042605
786194342836580,2.262526512145996
955698035678749,1.9750908613204956
866815100851838,2.64876127243042
927839621971828,2.6196999549865723
1287595691936597,2.675203800201416
591851556186495,2.488276958465576
924688235404281,2.654344081878662
1325574348062406,2.9990310668945312
889969055922024,1.6997746229171753
1320356891947994,1.462925910949707
935101997802949,2.5924861431121826
1291360174857164,2.666684627532959
904955447226868,2.2481560707092285
1069892710906888,2.3590574264526367
1088748659010324,1.4782960414886477
859188882150754,2.099985122680664
827112448227434,1.2150888442993164
567940365139959,2.659909725189209
1324451384622640,2.135481119155884
1188506748842672,2.522897720336914
1254473731836733,1.8965487480163576
1098883101353046,1.4333020448684692
1005885867105523,1.0814934968948364
943389367082626,2.306349754333496
874703593629086,2.676651954650879
1297003261253198,2.064291477203369
1091316464727149,0.9783167839050292
1167560977238743,2.107417106628418
1326301911193642,1.2754144668579102
937660520402485,2.1827526092529297
1328846987662051,2.132770538330078
1298232051041423,2.5419585704803467
1297852097593401,1.6601433753967283
1347910928914601,2.336644411087036
1350536375645591,2.65575647354126
940363120506696,1.8282992839813232
926884831484492,2.2599949836730957
988313311830120,2.260809898376465
963689867702639,2.6668567657470703
1089339432276716,2.109205722808838
1283809392266148,2.4267659187316895
951087706042391,2.493932723999023
841887163829944,2.5627217292785645
1288321052096925,2.6467504501342773
949078322895966,2.3736538887023926
500413271138653,2.621943950653076
1357250115206870,1.1131539344787598
1351128591937990,2.031093120574951
649421833932476,3.473355293273926
1288964198442779,2.3645639419555664
1167461030602968,2.642319679260254
1194627541230160,2.65987491607666
1322164128308056,2.098130226135254
1289762975236778,2.875920295715332
1302069607137629,2.6559176445007324
1119351515767994,1.9562746286392212
1018766566174241,2.385986566543579
1132438631097233,1.809376239776611
1214864662479360,1.0442571640014648
1306355100291293,2.6449451446533203
1285723381822814,2.617709159851074
736145818368947,2.5380377769470215
1267278127294424,2.133775234222412
